subject	pid	partition	psg_channel_count	headband_channel_count	psg_header_sidecar_match	headband_header_sidecar_match	psg6_eligible	psg2_eligible	hb2_eligible	reference_match	sampling_match	duration_match	pair_pass	failed_checks	psg_channel_signature	headband_channel_signature
sub-77	42	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-78	43	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-79	44	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-80	45	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-81	46	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-82	48	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-83	50	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-84	51	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-85	52	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-86	53	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-87	54	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-88	55	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-89	56	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-90	57	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-91	58	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-92	59	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-93	60	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-94	61	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-95	62	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-96	63	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-97	64	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-98	65	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-99	66	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-100	67	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-101	68	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-102	69	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-103	71	train	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-104	72	train	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-105	73	validation	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-106	74	test	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-107	75	train	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-108	76	train	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-109	96	train	15	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-110	96	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-111	96	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-112	97	validation	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-113	97	validation	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-114	97	validation	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-115	98	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-116	98	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-117	98	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-118	99	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-119	99	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-120	99	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-121	100	train	16	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-122	101	train	15	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-123	102	test	15	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-124	15	validation	15	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-125	104	train	16	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-126	106	validation	9	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_EMG	HB_1,HB_2,HB_PULSE
sub-127	107	test	15	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_PULSE
sub-128	108	train	9	3	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_EMG	HB_1,HB_2,HB_PULSE
